Abbotsford Public School,350 Great North Road Abbotsford NSW 2046,2046,Western Sydney and Blue Mountains,02 9713 6220,abbotsford-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Abbotsford%20Public%20School%2C%20350%20Great%20North%20Road%20Abbotsford%20NSW%202046,https://abbotsford-p.schools.nsw.gov.au/
Aberdeen Public School,Segenhoe Street Aberdeen NSW 2336,2336,Hunter Valley excl Newcastle,02 6543 7271,aberdeen-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Aberdeen%20Public%20School%2C%20Segenhoe%20Street%20Aberdeen%20NSW%202336,https://aberdeen-p.schools.nsw.gov.au/
Abermain Public School,Goulburn Street Abermain NSW 2326,2326,Hunter Valley excl Newcastle,02 4930 4210,abermain-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Abermain%20Public%20School%2C%20Goulburn%20Street%20Abermain%20NSW%202326,https://abermain-p.schools.nsw.gov.au/
Adaminaby Public School,11 Cosgrove Street Adaminaby NSW 2629,2629,Riverina,02 6454 2265,adaminaby-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Adaminaby%20Public%20School%2C%2011%20Cosgrove%20Street%20Adaminaby%20NSW%202629,https://adaminaby-p.schools.nsw.gov.au/
Adamstown Public School,1 Bryant Street Adamstown NSW 2289,2289,Newcastle and Lake Macquarie,02 4957 1114,adamstown-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Adamstown%20Public%20School%2C%201%20Bryant%20Street%20%20Adamstown%20NSW%202289,https://adamstown-p.schools.nsw.gov.au/
Adelong Public School,Gilmore Street Adelong NSW 2729,2729,Riverina,02 6946 2053,adelong-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Adelong%20Public%20School%2C%20Gilmore%20Street%20Adelong%20NSW%202729,https://adelong-p.schools.nsw.gov.au/
Afterlee Public School,"2089 Afterlee Road Kyogle, NSW 2474",2474,Richmond - Tweed,02 6633 3163,afterlee-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Afterlee%20Public%20School%2C%202089%20Afterlee%20Road%20Kyogle%2C%20%20NSW%202474,https://afterlee-p.schools.nsw.gov.au/
Airds High School,2 Briar Road Airds NSW 2560,2560,Illawarra,02 4625 5811,airds-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Airds%20High%20School%2C%202%20Briar%20Road%20Airds%20NSW%202560,https://airds-h.schools.nsw.gov.au/
Ajuga School,Quarter Sessions and Roy Watts Road Glenfield NSW 2167,2167,Southern and Southwest Sydney,02 9827 6100,ajuga-s.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ajuga%20School%2C%20Quarter%20Sessions%20and%20Roy%20Watts%20Road%20Glenfield%20NSW%202167,https://ajuga-s.schools.nsw.gov.au/
Albert Park Public School,344 Keen Street Lismore NSW 2480,2480,Richmond - Tweed,02 6621 3259,albertpk-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albert%20Park%20Public%20School%2C%20344%20Keen%20Street%20Lismore%20NSW%202480,https://albertpk-p.schools.nsw.gov.au/
